account_id,account_name,plan_tier,user_segment,device_platform,acquisition_channel,recipe_saves,account_age_days,contract_value_aud,churned_90d,upgraded_90d
acc_000000,Hall-Allen Kitchen,premium,health_fitness,ios,app_store_search,173,118,79.03,True,False
acc_000001,Jackson & Jackson,premium,family_planning,ios,organic_search,178,177,91.6,False,False
acc_000002,Johnson & Davis,premium,budget_cooking,ios,paid_social,20,401,70.55,False,False
acc_000003,Williams-Lewis Kitchen,family,dietary_specific,android,referral,162,478,138.22,False,False
acc_000004,The Thomass,premium,health_fitness,ios,paid_social,176,669,69.88,True,False
acc_000005,Lee-Harris Kitchen,family,foodie,android,app_store_search,101,525,132.99,False,False
acc_000006,Walker & Thompson,premium,health_fitness,web,social_media,12,107,88.92,False,False
acc_000007,Rodriguez-Rodriguez Kitchen,family,dietary_specific,ios,influencer,137,712,134.91,True,False
acc_000008,Smith Household,premium,foodie,ios,social_media,129,668,71.3,False,False
acc_000009,Young Family,free,family_planning,web,organic_search,14,259,0.0,False,False
acc_000010,The Bakers,family,health_fitness,ios,social_media,138,230,126.79,False,False
acc_000011,The Greens,free,family_planning,android,app_store_search,1,239,0.0,False,False
acc_000012,Harris Household,free,foodie,ios,influencer,147,598,0.0,False,False
acc_000013,Adams-Martin Kitchen,premium,dietary_specific,ios,referral,27,361,79.04,False,False
acc_000014,Williams Family,free,foodie,ios,app_store_search,60,109,0.0,False,False
acc_000015,Lee-Williams Kitchen,free,budget_cooking,ios,referral,169,583,0.0,False,False
acc_000016,Allen Household,premium,dietary_specific,ios,app_store_search,20,534,66.26,True,False
acc_000017,Adams Household,premium,family_planning,android,social_media,52,281,75.27,False,False
acc_000018,Scott-Clark Kitchen,premium,dietary_specific,web,app_store_search,129,232,77.19,False,False
acc_000019,The Garcias,family,budget_cooking,ios,social_media,76,581,138.86,False,False
acc_000020,Lee & Lewis,premium,health_fitness,android,app_store_search,64,514,79.89,True,False
acc_000021,Jackson Family,free,family_planning,android,social_media,19,128,0.0,True,False
acc_000022,The Halls,free,family_planning,android,influencer,91,54,0.0,False,False
acc_000023,Taylor Household,family,dietary_specific,android,organic_search,45,39,138.38,False,False
acc_000024,Green & Nelson,premium,health_fitness,ios,app_store_search,89,485,82.17,False,True
acc_000025,Taylor Family,free,foodie,android,organic_search,7,353,0.0,False,False
acc_000026,The Clarks,free,budget_cooking,ios,paid_social,98,132,0.0,True,False
acc_000027,Harris & Harris,free,health_fitness,android,referral,169,335,0.0,True,False
acc_000028,Hall Family,premium,health_fitness,android,referral,157,192,74.84,True,False
acc_000029,The Robinsons,premium,health_fitness,ios,organic_search,168,187,75.3,False,False
acc_000030,Lewis Household,free,health_fitness,web,social_media,116,88,0.0,False,False
acc_000031,Allen Family,premium,health_fitness,android,influencer,12,489,71.59,True,False
acc_000032,The Lees,premium,budget_cooking,ios,organic_search,114,575,80.16,True,False
acc_000033,Davis & Harris,free,health_fitness,ios,app_store_search,138,341,0.0,False,False
acc_000034,White Family,premium,family_planning,ios,referral,178,612,76.34,False,False
acc_000035,Scott-Adams Kitchen,premium,budget_cooking,android,organic_search,56,513,86.68,False,False
acc_000036,Thomas & Green,premium,dietary_specific,android,social_media,164,99,84.93,False,False
acc_000037,Johnson Household,premium,budget_cooking,ios,app_store_search,138,33,82.59,False,True
acc_000038,Wright Household,premium,health_fitness,ios,app_store_search,119,237,88.31,False,False
acc_000039,Anderson Household,premium,dietary_specific,android,organic_search,101,398,72.78,True,False
acc_000040,Jackson Family,premium,foodie,ios,social_media,94,691,80.57,False,False
acc_000041,Scott Household,premium,family_planning,android,paid_social,157,290,80.76,False,False
acc_000042,Taylor & Walker,free,family_planning,android,social_media,97,698,0.0,False,False
acc_000043,The Andersons,premium,foodie,ios,app_store_search,125,430,78.75,False,False
acc_000044,Jones Household,free,foodie,ios,social_media,140,449,0.0,False,False
acc_000045,Davis Household,premium,dietary_specific,android,app_store_search,70,509,79.11,True,False
acc_000046,Thompson Household,premium,health_fitness,ios,app_store_search,178,313,76.73,True,False
acc_000047,Wilson Family,free,dietary_specific,ios,app_store_search,18,517,0.0,False,False
acc_000048,The Browns,premium,budget_cooking,ios,social_media,113,475,96.5,False,False
acc_000049,Anderson Family,free,health_fitness,ios,social_media,0,174,0.0,False,True
acc_000050,Jones & Williams,free,health_fitness,ios,influencer,169,617,0.0,True,False
